Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment, Day 
store 1,7/16/2010,1448938.92,non holiday,83.15,2.623,211.1003854,7.787, Friday 
store 1,7/23/2010,1385065.2,non holiday,,2.608,211.2351443,7.787, Friday 
store 1,7/30/2010,1371986.6,non holiday,,2.64,211.3699032,7.787, Friday 
store 1,6/8/2010,1605491.78,non holiday,87.16,2.627,211.5046621,7.787, Tuesday 
store 1,8/13/2010,1508237.76,non holiday,87,2.692,211.6394211,7.787, Friday 
store 1,8/20/2010,1513080.49,non holiday,86.65,2.664,211.6033633,7.787, Friday 
store 1,8/27/2010,1449142.92,non holiday,85.22,2.619,211.5673056,7.787, Friday 
store 1,3/9/2010,1540163.53,non holiday,81.21,2.577,211.5312479,7.787, Tuesday 
store 1,10/9/2010,1507460.69,holiday,78.69,2.565,211.4951902,7.787, Saturday 
store 1,9/17/2010,1430378.67,non holiday,82.11,2.582,211.5224596,7.787, Friday 
store 1,9/24/2010,1351791.03,non holiday,80.94,2.624,211.5972246,7.787, Friday 
store 1,1/10/2010,1453329.5,non holiday,71.89,2.603,211.6719895,7.838, Sunday 
store 1,8/10/2010,1508239.93,non holiday,63.93,2.633,211.7467544,7.838, Tuesday 
store 1,10/15/2010,1459409.1,non holiday,67.18,2.72,211.8137436,7.838, Friday 
store 1,10/22/2010,1345454,non holiday,69.86,2.725,211.8612937,7.838, Friday 
store 1,10/29/2010,1384209.22,non holiday,69.64,2.716,211.9088438,7.838, Friday 
store 1,5/11/2010,1551659.28,non holiday,58.74,2.689,211.9563939,7.838, Tuesday 
store 1,12/11/2010,1494479.49,non holiday,59.61,2.728,212.003944,7.838, Saturday 
store 1,11/19/2010,1483784.18,non holiday,,2.771,211.8896737,7.838, Friday 
store 1,11/26/2010,1955624.11,holiday,64.52,2.735,211.7484333,7.838, Friday 
store 1,3/12/2010,1548033.78,non holiday,49.27,,211.607193,7.838, Friday 
store 1,10/12/2010,1682614.26,non holiday,,2.843,211.4659526,7.838, Tuesday 
store 1,12/17/2010,1891034.93,non holiday,49.84,2.869,211.4053124,7.838, Friday 
store 1,12/24/2010,2387950.2,non holiday,52.33,2.886,211.4051222,7.838, Friday 
store 1,12/31/2010,1367320.01,holiday,48.43,2.943,211.4049321,7.838, Friday 
store 1,7/1/2011,1444732.28,non holiday,48.27,2.976,211.4047419,7.742, Friday 
store 1,1/14/2011,1391013.96,non holiday,35.4,2.983,211.4574109,7.742, Friday 
store 1,1/21/2011,1327405.42,non holiday,44.04,3.016,211.8272343,7.742, Friday 
store 1,1/28/2011,1316899.31,non holiday,43.83,3.01,212.1970577,7.742, Friday 
store 1,4/2/2011,1606629.58,non holiday,42.27,2.989,212.5668812,7.742, Saturday 
store 1,11/2/2011,1649614.93,holiday,36.39,3.022,212.9367046,7.742, Wednesday 
store 1,2/18/2011,1686842.78,non holiday,,3.045,213.2478853,7.742, Friday 
store 1,2/25/2011,1456800.28,non holiday,,3.065,213.535609,7.742, Friday 
store 1,4/3/2011,1636263.41,non holiday,,3.288,213.8233327,7.742, Sunday 
store 1,11/3/2011,1553191.63,non holiday,53.56,3.459,214.1110564,7.742, Thursday 
store 1,3/18/2011,1576818.06,non holiday,62.76,3.488,214.3627114,7.742, Friday 
store 1,3/25/2011,1541102.38,non holiday,69.97,3.473,214.5999389,7.742, Friday 
store 1,1/4/2011,1495064.75,non holiday,59.17,3.524,214.8371664,7.682, Tuesday 
store 1,8/4/2011,1614259.35,non holiday,67.84,3.622,215.0743939,7.682, Thursday 
store 1,4/15/2011,1559889,non holiday,71.27,3.743,215.2918561,7.682, Friday 
store 1,4/22/2011,1564819.81,non holiday,72.99,3.807,215.4599053,7.682, Friday 
store 1,4/29/2011,1455090.69,non holiday,72.03,3.81,215.6279544,7.682, Friday 
store 1,6/5/2011,1629391.28,non holiday,64.61,3.906,215.7960035,7.682, Sunday 
store 1,5/13/2011,1604775.58,non holiday,,3.899,215.9640526,7.682, Friday 
store 1,5/20/2011,1428218.27,non holiday,67.63,3.907,215.7339202,7.682, Friday 
store 1,5/27/2011,1466046.67,non holiday,77.72,3.786,215.5037878,7.682, Friday 
store 1,3/6/2011,1635078.41,non holiday,83,3.699,215.2736553,7.682, Sunday 
store 1,10/6/2011,1588948.32,non holiday,83.13,3.648,215.0435229,7.682, Thursday 
store 1,6/17/2011,1532114.86,non holiday,86.41,,214.9980596,7.682, Friday 
store 1,6/24/2011,1438830.15,non holiday,83.58,3.594,215.0910982,7.682, Friday 
store 1,1/7/2011,1488538.09,non holiday,85.55,3.524,215.1841368,7.962, Friday 
store 1,8/7/2011,1534849.64,non holiday,85.83,3.48,215.2771754,7.962, Sunday 
store 1,7/15/2011,1455119.97,non holiday,88.54,3.575,215.3611087,7.962, Friday 
store 1,7/22/2011,1396926.82,non holiday,85.77,3.651,215.4222784,, Friday 
store 1,7/29/2011,1352219.79,non holiday,86.83,3.682,215.4834482,7.962, Friday 
store 1,5/8/2011,1624383.75,non holiday,91.65,3.684,215.544618,7.962, Sunday 
store 1,12/8/2011,1525147.09,non holiday,90.76,3.638,215.6057878,7.962, Thursday 
store 1,8/19/2011,1530761.43,non holiday,89.94,3.554,215.6693107,7.962, Friday 
store 1,8/26/2011,1464693.46,non holiday,87.96,3.523,215.7332258,7.962, Friday 
store 1,2/9/2011,1550229.22,non holiday,87.83,3.533,215.7971409,7.962, Wednesday 
store 1,9/9/2011,1540471.24,holiday,,,215.861056,7.962, Friday 
store 1,9/16/2011,1514259.78,non holiday,79.94,3.526,216.0410526,7.962, Friday 
store 1,9/23/2011,1380020.27,non holiday,75.8,3.467,216.3758246,7.962, Friday 
store 1,9/30/2011,1394561.83,non holiday,79.69,3.355,216.7105965,7.962, Friday 
store 1,7/10/2011,1630989.95,non holiday,69.31,3.285,217.0453684,7.866, Sunday 
store 1,10/14/2011,1493525.93,non holiday,71.74,3.274,217.3552733,7.866, Friday 
store 1,10/21/2011,1502562.78,non holiday,63.71,3.353,217.5159762,7.866, Friday 
store 1,10/28/2011,1445249.09,non holiday,66.57,3.372,217.6766791,7.866, Friday 
store 1,4/11/2011,1697229.58,non holiday,54.98,3.332,217.837382,7.866, Monday 
store 1,11/11/2011,1594938.89,non holiday,59.11,3.297,217.9980849,7.866, Friday 
store 1,11/18/2011,1539483.7,non holiday,62.25,3.308,218.2205088,7.866, Friday 
store 1,11/25/2011,2033320.66,holiday,,3.236,218.4676211,7.866, Friday 
store 1,2/12/2011,1584083.95,non holiday,48.91,3.172,218.7147333,7.866, Saturday 
store 1,9/12/2011,1799682.38,non holiday,43.93,3.158,218.9618456,7.866, Monday 
store 1,12/16/2011,1881176.67,non holiday,51.63,3.159,219.1794533,7.866, Friday 
store 1,12/23/2011,2270188.99,non holiday,47.96,3.112,219.3577216,7.866, Friday 
store 1,12/30/2011,1497462.72,holiday,44.55,3.129,219.5359898,7.866, Friday 
store 1,6/1/2012,1550369.92,non holiday,49.01,3.157,219.7142581,7.348, Friday 
store 1,1/13/2012,1459601.17,non holiday,,3.261,219.8925263,7.348, Friday 
store 1,1/20/2012,1394393.84,non holiday,54.11,3.268,219.9856893,7.348, Friday 
store 1,1/27/2012,1319325.59,non holiday,54.26,3.29,220.0788523,7.348, Friday 
store 1,3/2/2012,1636339.65,non holiday,56.55,,220.1720153,7.348, Friday 
store 1,10/2/2012,1802477.43,holiday,,3.409,220.2651783,7.348, Tuesday 
store 1,2/17/2012,1819870,non holiday,45.32,3.51,220.4257586,7.348, Friday 
store 1,2/24/2012,1539387.83,non holiday,57.25,3.555,,7.348, Friday 
store 1,2/3/2012,1688420.76,non holiday,60.96,3.63,220.8480454,7.348, Friday 
store 1,9/3/2012,1675431.16,non holiday,58.76,3.669,221.0591887,7.348, Monday 
store 1,3/16/2012,1677472.78,non holiday,,3.734,221.2118132,7.348, Friday 
store 1,3/23/2012,1511068.07,non holiday,65.93,3.787,221.2864126,7.348, Friday 
store 1,3/30/2012,1649604.63,non holiday,,3.845,221.3610119,7.348, Friday 
store 1,6/4/2012,1899676.88,non holiday,,3.891,221.4356112,7.143, Monday 
store 1,4/13/2012,1621031.7,non holiday,69.07,3.891,221.5102105,7.143, Friday 
store 1,4/20/2012,1521577.87,non holiday,,3.877,221.5640737,7.143, Friday 
store 1,4/27/2012,1468928.37,non holiday,,3.814,221.6179368,7.143, Friday 
store 1,4/5/2012,1684519.99,non holiday,75.55,3.749,221.6718,7.143, Thursday 
store 1,11/5/2012,1611096.05,non holiday,73.77,3.688,221.7256632,7.143, Monday 
store 1,5/18/2012,1595901.87,non holiday,70.33,3.63,221.742674,7.143, Friday 
store 1,5/25/2012,1555444.55,non holiday,77.22,3.561,221.744944,7.143, Friday 
store 1,1/6/2012,1624477.58,non holiday,77.95,3.501,221.7472139,7.143, Friday 
store 1,8/6/2012,1697230.96,non holiday,,3.452,221.7494839,7.143, Monday 
store 1,6/15/2012,1630607,non holiday,79.35,3.393,221.7626421,7.143, Friday 
store 1,6/22/2012,1527845.81,non holiday,78.39,3.346,221.8030211,7.143, Friday 
store 1,6/29/2012,1540421.49,non holiday,84.88,,221.8434,7.143, Friday 
store 1,6/7/2012,1769854.16,non holiday,81.57,3.227,221.8837789,6.908, Thursday 
store 1,7/13/2012,1527014.04,non holiday,77.12,3.256,221.9241579,6.908, Friday 
store 1,7/20/2012,1497954.76,non holiday,80.42,3.311,221.9327267,6.908, Friday 
store 1,7/27/2012,1439123.71,non holiday,,,221.9412954,6.908, Friday 
store 1,3/8/2012,1631135.79,non holiday,86.11,3.417,221.9498642,6.908, Thursday 
store 1,10/8/2012,1592409.97,non holiday,85.05,3.494,221.9584329,6.908, Monday 
store 1,8/17/2012,1597868.05,non holiday,84.85,3.571,222.0384109,6.908, Friday 
store 1,8/24/2012,1494122.38,non holiday,77.66,3.62,222.1719457,6.908, Friday 
store 1,8/31/2012,1582083.4,non holiday,80.49,3.638,222.3054805,6.908, Friday 
store 1,7/9/2012,1661767.33,holiday,83.96,3.73,222.4390153,6.908, Monday 
store 1,9/14/2012,1517428.87,non holiday,74.97,3.717,222.5820193,, Friday 
store 1,9/21/2012,1506126.06,,69.87,3.721,222.7818386,6.908, Friday 
store 1,9/28/2012,1437059.26,non holiday,76.08,3.666,222.9816579,6.908, Friday 
store 1,5/10/2012,1670785.97,non holiday,,3.617,223.1814772,6.573, Thursday 
store 1,12/10/2012,1573072.81,non holiday,62.99,3.601,223.3812965,6.573, Monday 
store 1,10/19/2012,1508068.77,non holiday,67.97,3.594,223.4257233,6.573, Friday 
store 1,10/26/2012,1493659.74,non holiday,69.16,3.506,223.4442513,6.573, Friday 
store 2,5/2/2010,2136989.46,non holiday,40.19,2.572,210.7526053,8.324, Sunday 
store 2,12/2/2010,2137809.5,holiday,38.49,2.548,210.8979935,8.324, Thursday 
store 2,2/19/2010,2124451.54,non holiday,39.69,2.514,210.9451605,8.324, Friday 
store 2,2/26/2010,1865097.27,non holiday,46.1,2.561,210.9759573,8.324, Friday 
store 2,5/3/2010,1991013.13,non holiday,47.17,2.625,211.0067542,8.324, Monday 
store 2,12/3/2010,1990483.78,non holiday,57.56,2.667,211.037551,8.324, Friday 
store 2,3/19/2010,1946070.88,non holiday,54.52,2.72,210.8733316,8.324, Friday 
store 2,3/26/2010,1750197.81,non holiday,51.26,2.732,210.6766095,8.324, Friday 
store 2,2/4/2010,2066187.72,non holiday,63.27,2.719,210.4798874,8.2, Thursday 
store 2,9/4/2010,1954689.21,non holiday,65.41,2.77,210.2831653,8.2, Saturday 
store 2,4/16/2010,1874957.94,non holiday,68.07,2.808,210.1495463,8.2, Friday 
store 2,4/23/2010,1821990.93,non holiday,65.11,2.795,210.1000648,, Friday 
store 2,4/30/2010,1802450.29,,66.98,2.78,,8.2, Friday 
store 2,7/5/2010,2042581.71,non holiday,,2.835,210.0011018,8.2, Monday 
store 2,5/14/2010,1880752.36,non holiday,,2.854,209.9984585,8.2, Friday 
store 2,5/21/2010,1896937.1,non holiday,74.83,2.826,210.2768443,8.2, Friday 
store 2,5/28/2010,1957113.89,non holiday,81.13,2.759,210.5552301,8.2, Friday 
store 2,4/6/2010,2102539.93,non holiday,,2.705,210.833616,8.2, Tuesday 
store 2,11/6/2010,2025538.76,non holiday,83.4,2.668,211.1120018,8.2, Saturday 
store 2,6/18/2010,2001636.96,non holiday,85.81,2.637,211.1096543,8.2, Friday 
store 2,6/25/2010,1939927.09,non holiday,86.26,2.653,210.9950134,8.2, Friday 
store 2,2/7/2010,2003940.64,non holiday,82.74,2.669,210.8803726,8.099, Sunday 
store 2,9/7/2010,1880902.62,non holiday,82.59,2.642,210.7657317,8.099, Tuesday 
store 2,7/16/2010,1845879.79,non holiday,85.32,2.623,210.7577954,8.099, Friday 
store 2,7/23/2010,1781717.71,non holiday,87.66,2.608,210.8921319,8.099, Friday 
store 2,7/30/2010,1804246.16,non holiday,,2.64,211.0264684,8.099, Friday 
store 2,6/8/2010,1991909.98,non holiday,89.53,2.627,211.1608049,8.099, Tuesday 
store 2,8/13/2010,1895601.05,non holiday,89.05,2.692,211.2951413,8.099, Friday 
store 2,8/20/2010,1964335.23,non holiday,88.7,2.664,211.2596586,8.099, Friday 
store 2,8/27/2010,1863840.49,non holiday,87.12,,211.2241759,8.099, Friday 
store 2,3/9/2010,1904608.09,non holiday,81.83,2.577,211.1886931,8.099, Tuesday 
store 2,10/9/2010,1839128.83,holiday,79.09,2.565,211.1532104,8.099, Saturday 
store 2,9/17/2010,1793903.6,non holiday,82.05,2.582,211.1806415,8.099, Friday 
store 2,9/24/2010,1724557.22,non holiday,81.79,2.624,211.2552578,8.099, Friday 
store 2,1/10/2010,1827440.43,non holiday,69.24,2.603,211.3298742,8.163, Sunday 
store 2,8/10/2010,1849921.44,non holiday,63.19,2.633,211.4044906,8.163, Tuesday 
store 2,10/15/2010,1794355.49,non holiday,65.8,2.72,211.4713286,8.163, Friday 
store 2,10/22/2010,1737947.64,non holiday,68.5,,211.5187208,8.163, Friday 
store 2,10/29/2010,1802755.11,non holiday,66.24,2.716,211.5661131,8.163, Friday 
store 2,5/11/2010,1939061.41,non holiday,57.85,2.689,211.6135053,8.163, Tuesday 
store 2,12/11/2010,1916812.74,non holiday,59.69,2.728,211.6608975,8.163, Saturday 
store 2,11/19/2010,1956739.17,non holiday,50.81,2.771,211.5470304,8.163, Friday 
store 2,11/26/2010,2658725.29,holiday,62.98,2.735,211.4062867,8.163, Friday 
store 2,3/12/2010,2015781.27,non holiday,49.33,2.708,211.265543,8.163, Friday 
store 2,10/12/2010,2378726.55,non holiday,45.5,2.843,211.1247993,8.163, Tuesday 
store 2,12/17/2010,2609166.75,non holiday,47.55,2.869,211.0645458,8.163, Friday 
store 2,12/24/2010,3436007.68,non holiday,49.97,2.886,211.0646599,8.163, Friday 
store 2,12/31/2010,1750434.55,holiday,47.3,2.943,211.064774,8.163, Friday 
store 2,7/1/2011,1758050.79,non holiday,,,211.0648881,8.028, Friday 
store 2,1/14/2011,1744193.58,non holiday,33.02,2.983,211.1176713,8.028, Friday 
store 2,1/21/2011,1751384.9,non holiday,41.4,3.016,211.4864691,8.028, Friday 
store 2,1/28/2011,1695371.68,non holiday,42.83,3.01,211.8552668,8.028, Friday 
store 2,4/2/2011,1929346.23,non holiday,,2.989,212.2240646,8.028, Saturday 
store 2,11/2/2011,2168041.61,holiday,33.19,3.022,212.5928624,8.028,
store 2,2/18/2011,2080884.82,non holiday,57.83,3.045,212.9033115,8.028, Friday 
store 2,2/25/2011,1833511.08,non holiday,60.8,3.065,213.190421,8.028, Friday 
store 2,4/3/2011,1981607.78,non holiday,57.77,3.288,213.4775305,8.028, Sunday 
store 2,11/3/2011,1879107.31,non holiday,52.7,3.459,213.7646401,8.028, Thursday 
store 2,3/18/2011,1902557.66,non holiday,62.32,3.488,214.0156238,8.028, Friday 
store 2,3/25/2011,1766162.05,non holiday,69.42,3.473,214.2521573,8.028, Friday 
store 2,1/4/2011,1800171.36,non holiday,55.43,3.524,214.4886908,7.931, Tuesday 
store 2,8/4/2011,1847552.61,non holiday,,3.622,214.7252242,7.931, Thursday 
store 2,4/15/2011,1856467.84,non holiday,,3.743,214.9420631,7.931, Friday 
store 2,4/22/2011,1886339.6,non holiday,69.39,3.807,215.1096657,7.931, Friday 
store 2,4/29/2011,1745545.28,non holiday,69.21,3.81,215.2772683,7.931, Friday 
store 2,6/5/2011,1837743.6,non holiday,61.48,3.906,215.4448709,7.931, Sunday 
store 2,5/13/2011,1838513.07,non holiday,74.61,3.899,215.6124735,7.931, Friday 
store 2,5/20/2011,1688281.86,non holiday,67.14,3.907,215.3834778,7.931, Friday 
store 2,5/27/2011,1797732.56,non holiday,76.42,3.786,215.1544822,7.931, Friday 
store 2,3/6/2011,1933756.21,non holiday,83.07,3.699,214.9254865,7.931, Sunday 
store 2,10/6/2011,1929153.16,non holiday,,3.648,214.6964908,7.931, Thursday 
store 2,6/17/2011,1953771.99,non holiday,,3.637,214.6513538,7.931, Friday 
store 2,6/24/2011,1790925.8,non holiday,85.17,3.594,214.7441108,7.931, Friday 
store 2,1/7/2011,1866243,non holiday,85.69,3.524,214.8368678,7.852, Friday 
store 2,8/7/2011,1853161.99,non holiday,87.7,3.48,214.9296249,7.852, Sunday 
store 2,7/15/2011,1785187.29,non holiday,89.83,3.575,215.0134426,7.852, Friday 
store 2,7/22/2011,1743816.41,non holiday,89.34,3.651,215.0749122,7.852, Friday 
store 2,7/29/2011,1680693.06,non holiday,90.07,3.682,215.1363819,7.852, Friday 
store 2,5/8/2011,1876704.26,non holiday,93.34,3.684,215.1978515,7.852, Sunday 
store 2,12/8/2011,1812768.26,non holiday,91.58,3.638,215.2593211,7.852, Thursday 
store 2,8/19/2011,1844094.59,non holiday,89.86,3.554,215.3229307,7.852, Friday 
store 2,8/26/2011,1821139.91,non holiday,90.45,3.523,215.386897,7.852, Friday 
store 2,2/9/2011,1809119.7,non holiday,89.64,3.533,215.4508632,7.852, Wednesday 
store 2,9/9/2011,1748000.65,holiday,77.97,3.546,215.5148295,7.852, Friday 
store 2,9/16/2011,1691439.52,non holiday,,3.526,215.6944378,7.852, Friday 
store 2,9/23/2011,1669299.78,non holiday,,3.467,216.0282356,7.852, Friday 
store 2,9/30/2011,1650394.44,non holiday,78.14,3.355,216.3620333,7.852, Friday 
store 2,7/10/2011,1837553.43,non holiday,69.92,3.285,216.6958311,7.441, Sunday 
store 2,10/14/2011,1743882.19,non holiday,71.67,3.274,217.0048261,7.441, Friday 
store 2,10/21/2011,1834680.25,non holiday,,3.353,217.1650042,7.441, Friday 
store 2,10/28/2011,1769296.25,non holiday,65.87,3.372,217.3251824,7.441, Friday 
store 2,4/11/2011,1959707.9,non holiday,55.53,3.332,217.4853605,7.441, Monday 
store 2,11/11/2011,1920725.15,non holiday,59.33,3.297,217.6455387,7.441, Friday 
store 2,11/18/2011,1902762.5,non holiday,62.01,3.308,217.8670218,7.441, Friday 
store 2,11/25/2011,2614202.3,holiday,,3.236,218.1130269,7.441, Friday 
store 2,2/12/2011,1954952,non holiday,48.74,3.172,218.3590319,7.441, Saturday 
store 2,9/12/2011,2290549.32,non holiday,41.76,3.158,218.605037,7.441, Monday 
store 2,12/16/2011,2432736.52,non holiday,50.13,,218.8217928,7.441, Friday 
store 2,12/23/2011,3224369.8,non holiday,46.66,,218.9995495,7.441, Friday 
store 2,12/30/2011,1874226.52,holiday,44.57,3.129,219.1773063,7.441, Friday 
store 2,6/1/2012,1799520.14,non holiday,46.75,3.157,219.355063,7.057, Friday 
store 2,1/13/2012,1744725.48,non holiday,,3.261,219.5328198,7.057, Friday 
store 2,1/20/2012,1711769.11,non holiday,,3.268,219.6258417,7.057, Friday 
store 2,1/27/2012,1660906.14,non holiday,50.5,3.29,219.7188636,7.057, Friday 
store 2,3/2/2012,1935299.94,non holiday,55.21,3.36,219.8118854,7.057, Friday 
store 2,10/2/2012,2103322.68,holiday,46.98,,219.9049073,7.057, Tuesday 
store 2,2/17/2012,2196688.46,non holiday,43.82,3.51,220.0651993,7.057, Friday 
store 2,2/24/2012,1861802.7,non holiday,54.63,3.555,220.275944,7.057, Friday 
store 2,2/3/2012,1952555.66,non holiday,58.79,3.63,220.4866886,7.057, Friday 
store 2,9/3/2012,1937628.26,non holiday,57.11,3.669,220.6974332,7.057, Monday 
store 2,3/16/2012,1976082.13,non holiday,,3.734,220.8498468,7.057, Friday 
store 2,3/23/2012,1790439.16,non holiday,64.01,3.787,220.9244858,7.057, Friday 
store 2,3/30/2012,1857480.84,non holiday,,3.845,220.9991248,7.057, Friday 
store 2,6/4/2012,2129035.91,non holiday,68.43,3.891,221.0737638,6.891, Monday 
store 2,4/13/2012,1935869.1,non holiday,68.08,3.891,221.1484028,6.891, Friday 
store 2,4/20/2012,1847344.45,non holiday,65.69,3.877,221.2021074,6.891, Friday 
store 2,4/27/2012,1764133.09,non holiday,67.2,3.814,221.255812,6.891, Friday 
store 2,4/5/2012,1923957.09,non holiday,,3.749,221.3095166,6.891, Thursday 
store 2,11/5/2012,1917520.99,non holiday,,3.688,221.3632212,6.891, Monday 
store 2,5/18/2012,2000940.67,non holiday,,3.63,221.380331,6.891, Friday 
store 2,5/25/2012,1912791.09,non holiday,78.19,3.561,221.3828029,6.891, Friday 
store 2,1/6/2012,1910092.37,non holiday,78.38,3.501,221.3852748,6.891, Friday 
store 2,8/6/2012,2010216.49,non holiday,78.69,3.452,221.3877467,6.891, Monday 
store 2,6/15/2012,1962924.3,non holiday,80.56,3.393,221.4009901,6.891, Friday 
store 2,6/22/2012,1887733.21,non holiday,81.04,3.346,221.4411622,6.891, Friday 
store 2,6/29/2012,1881046.12,non holiday,86.32,3.286,221.4813343,6.891, Friday 
store 2,6/7/2012,2041507.4,non holiday,84.2,3.227,221.5215064,6.565, Thursday 
store 2,7/13/2012,1830075.13,non holiday,80.17,3.256,221.5616784,6.565, Friday 
store 2,7/20/2012,1819666.46,non holiday,83.23,3.311,221.5701123,6.565, Friday 
store 2,7/27/2012,1757923.88,non holiday,86.37,,221.5785461,6.565, Friday 
store 2,3/8/2012,1946104.64,non holiday,,3.417,221.5869799,6.565, Thursday 
store 2,10/8/2012,1866719.96,non holiday,,3.494,221.5954138,6.565, Monday 
store 2,8/17/2012,1928016.01,non holiday,84.79,3.571,221.6751459,6.565, Friday 
store 2,8/24/2012,1876788.15,non holiday,76.91,3.62,221.8083518,6.565, Friday 
store 2,8/31/2012,1947083.3,non holiday,82.64,3.638,221.9415576,6.565, Friday 
store 2,7/9/2012,1898777.07,holiday,87.65,3.73,222.0747635,6.565, Monday 
store 2,9/14/2012,1814806.63,non holiday,,3.717,222.2174395,6.565, Friday 
store 2,9/21/2012,1829415.67,non holiday,71.09,3.721,222.4169362,6.565, Friday 
store 2,9/28/2012,1746470.56,non holiday,79.45,3.666,222.6164329,6.565, Friday 
store 2,5/10/2012,1998321.04,non holiday,70.27,3.617,222.8159296,6.17, Thursday 
store 2,12/10/2012,1900745.13,non holiday,60.97,3.601,223.0154263,6.17, Monday 
store 2,10/19/2012,1847990.41,non holiday,68.08,3.594,223.0598077,6.17, Friday 
store 2,10/26/2012,1834458.35,non holiday,69.79,3.506,223.0783366,6.17, Friday 
store 3,5/2/2010,461622.22,non holiday,,,214.4248812,7.368, Sunday 
store 3,12/2/2010,420728.96,holiday,47.93,2.548,214.5747916,7.368, Thursday 
store 3,2/19/2010,421642.19,non holiday,47.07,2.514,214.6198868,7.368, Friday 
store 3,2/26/2010,407204.86,non holiday,52.05,,214.6475127,7.368, Friday 
store 3,5/3/2010,415202.04,non holiday,53.04,2.625,214.6751386,7.368, Monday 
store 3,12/3/2010,384200.69,non holiday,,2.667,214.7027646,7.368, Friday 
store 3,3/19/2010,375328.59,non holiday,,2.72,214.5301219,7.368, Friday 
store 3,3/26/2010,359949.27,non holiday,57.06,2.732,214.3241011,7.368, Friday 
store 3,2/4/2010,423294.4,non holiday,65.56,2.719,214.1180803,7.343, Thursday 
store 3,9/4/2010,415870.28,non holiday,68,2.77,213.9120595,7.343, Saturday 
store 3,4/16/2010,354993.26,non holiday,66.98,2.808,213.7726889,7.343, Friday 
store 3,4/23/2010,339976.65,non holiday,67.87,2.795,213.7221852,7.343, Friday 
store 3,4/30/2010,361248.39,non holiday,70.24,2.78,213.6716815,7.343, Friday 
store 3,7/5/2010,399323.86,non holiday,73.47,2.835,213.6211778,7.343, Monday 
store 3,5/14/2010,384357.94,non holiday,77.18,,213.6196139,7.343, Friday 
store 3,5/21/2010,343763.17,non holiday,75.81,,213.9116886,7.343, Friday 
store 3,5/28/2010,350089.23,non holiday,,2.759,214.2037634,7.343, Friday 
store 3,4/6/2010,396968.8,non holiday,78.53,2.705,214.4958382,7.343, Tuesday 
store 3,11/6/2010,355017.09,non holiday,82.1,2.668,214.787913,7.343, Saturday 
store 3,6/18/2010,364076.85,non holiday,83.52,2.637,214.7858259,7.343, Friday 
store 3,6/25/2010,357346.48,non holiday,,2.653,214.6660741,7.343, Friday 
store 3,2/7/2010,381151.72,non holiday,,2.669,214.5463222,7.346, Sunday 
store 3,9/7/2010,349214.18,non holiday,81.75,2.642,214.4265704,7.346, Tuesday 
store 3,7/16/2010,352728.78,non holiday,84.32,2.623,214.4176476,7.346, Friday 
store 3,7/23/2010,352864.49,non holiday,,2.608,214.5564968,7.346, Friday 
store 3,7/30/2010,347955.05,non holiday,82.04,2.64,214.695346,7.346, Friday 
store 3,6/8/2010,402635.76,non holiday,,2.627,214.8341952,7.346, Tuesday 
store 3,8/13/2010,339597.38,non holiday,,2.692,214.9730444,7.346, Friday 
